id,name,template_message,device_id,delay_between_ms,human_delay_min_ms,human_delay_max_ms,status,total_recipients,sent_count,failed_count,created_at,started_at,completed_at,paused_at
3,"Blast Admin Kampus (Hana)","Halo Kak {nama_kontak},, Izin saya Hana tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas}

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_1,5000,2000,8000,completed,5,5,0,"2026-03-03 08:28:22",2026-03-03T08:30:07.671916+00:00,2026-03-03T08:30:32.863348+00:00,
9,"Blast Admin Kampus (Hana) 05 Maret 2026","Selamat pagi, Izin saya Hana tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas}

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_1,40000,20000,25000,completed,30,30,0,"2026-03-05 02:06:26",2026-03-05T02:07:55.862365+00:00,2026-03-05T02:28:16.975429+00:00,
10,"Blast Admin Kampus (Hana) 05 Maret 2026 (02)","Selamat siang, Izin saya Hana tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas}

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_1,30000,15000,15500,completed,58,58,0,"2026-03-05 03:15:27",2026-03-05T03:17:02.362907+00:00,2026-03-05T03:46:40.987720+00:00,
11,"Universitas Majalengka","Selamat siang, Izin saya Ali tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas}

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_1,5000,2000,8000,completed,2,2,0,"2026-03-05 04:26:02",2026-03-05T04:27:20.092102+00:00,2026-03-05T04:27:31.977488+00:00,
12,"Blast admin 1","Selamat siang, Izin saya Ali tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas}

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_2,5000,2000,8000,completed,7,7,0,"2026-03-05 06:09:26",2026-03-05T06:11:58.835579+00:00,2026-03-05T06:12:39.994683+00:00,
13,"Blast Admin (Hana) 06 Maret 2025 01","Selamat pagi, Izin saya Hana tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas}

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_1,30000,10000,10500,completed,26,26,0,"2026-03-06 02:28:26",2026-03-06T02:29:56.943582+00:00,2026-03-06T02:43:23.971176+00:00,
14,"Blast Admin (Hana) 06 Maret 2025 02","",device_1,5000,2000,8000,draft,0,0,0,"2026-03-06 02:43:26",,,
15,"Universitas Brawijaya 6/3/2026","Selamat pagi, Izin saya Ali tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas} 

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_2,5000,2000,8000,completed,3,3,0,"2026-03-06 03:30:52",2026-03-06T03:33:04.688853+00:00,2026-03-06T03:33:23.016936+00:00,
17,"blast admin (Ali 2 ) 6/03/2026","Selamat pagi, Izin saya Ali tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas}

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_1,5000,2000,8000,completed,8,7,1,"2026-03-06 04:37:34",2026-03-06T04:40:29.364955+00:00,2026-03-06T06:49:57.659360+00:00,
18,"Blast Hana 06 Maret 2026","Selamat siang, Izin saya Hana tim dari Asosiasi Artificial Intelligence Indonesia 

Kami ingin mengundang Rektor untuk Audiensi Daring Zoom mendiskusikan potensi kolaborasi di {nama_universitas}

Sebelumnya undangan telah diterima juga oleh Universitas Indonesia, UNAIR, Universitas Pelita Harapan, Binus University dan 120 kampus lainnya 

Boleh dibantu no WA pihak yang tepat untuk kami hubungi? Jika ada kontak sekretaris rektor untuk diskusi lanjutan. Terima kasih 🙏🏻",device_1,40000,20000,25000,completed,50,50,0,"2026-03-06 06:50:27",2026-03-06T06:52:25.052456+00:00,2026-03-06T07:26:24.440687+00:00,
