id,conversation_id,strategy_used,situation_type,outcome,province,response_time_minutes,created_at
7,20,"Menggunakan sapaan yang sopan",outreach,GOT_NUMBER,Aceh,62.4,2026-02-20T14:07:36.710619+00:00
8,20,"Menjelaskan tujuan dengan jelas",outreach,GOT_NUMBER,Aceh,62.4,2026-02-20T14:07:36.717436+00:00
9,20,"Menggunakan emotikon untuk menciptakan suasana yang lebih hangat",outreach,GOT_NUMBER,Aceh,62.4,2026-02-20T14:07:36.725156+00:00
10,20,"Mengulangi informasi penting untuk memastikan pemahaman",outreach,GOT_NUMBER,Aceh,3.0,2026-02-20T14:33:14.124933+00:00
11,20,"Menggunakan emotikon untuk menciptakan suasana yang lebih hangat",outreach,GOT_NUMBER,Aceh,3.0,2026-02-20T14:33:14.132540+00:00
12,20,"Menggunakan pendekatan sopan dan profesional",outreach,GOT_NUMBER,Aceh,1.8,2026-02-20T14:46:31.251364+00:00
13,20,"Menjelaskan konteks dan tujuan dengan jelas",outreach,GOT_NUMBER,Aceh,1.8,2026-02-20T14:46:31.259437+00:00
14,20,"Menunjukkan empati dan kesadaran terhadap kenyamanan kontak",outreach,GOT_NUMBER,Aceh,1.8,2026-02-20T14:46:31.264854+00:00
15,20,"Menggunakan pendekatan yang sopan dan profesional",outreach,GOT_NUMBER,Aceh,2.4,2026-02-20T14:46:36.926481+00:00
16,20,"Menjelaskan tujuan dengan jelas",outreach,GOT_NUMBER,Aceh,2.4,2026-02-20T14:46:36.933325+00:00
17,20,"Menunjukkan empati dan kesadaran terhadap kenyamanan kontak",outreach,GOT_NUMBER,Aceh,2.4,2026-02-20T14:46:36.940158+00:00
18,21,"Menggunakan pendekatan yang sopan dan profesional",outreach,REFUSED,,0.6,2026-02-21T02:40:34.458000+00:00
19,21,"Menjelaskan manfaat kolaborasi secara jelas",outreach,REFUSED,,0.6,2026-02-21T02:40:34.466580+00:00
20,21,"Menggunakan pendekatan sopan dan profesional",outreach,REFUSED,,1.8,2026-02-21T02:41:39.178595+00:00
21,21,"Memberikan informasi latar belakang yang relevan tentang kolaborasi",outreach,REFUSED,,1.8,2026-02-21T02:41:39.187513+00:00
22,22,"Menggunakan ungkapan terima kasih",outreach,GOT_NUMBER,,2.4,2026-02-21T02:48:06.626988+00:00
23,22,"Menjelaskan konteks dan tujuan dengan jelas",outreach,GOT_NUMBER,,2.4,2026-02-21T02:48:06.634917+00:00
24,22,"Meminta bantuan dengan sopan",outreach,GOT_NUMBER,,2.4,2026-02-21T02:48:06.641243+00:00
25,25,"Menggunakan sapaan yang sopan",outreach,GOT_NUMBER,,5.4,2026-02-21T03:29:41.656902+00:00
26,25,"Menjelaskan tujuan dengan jelas",outreach,GOT_NUMBER,,5.4,2026-02-21T03:29:41.664306+00:00
27,25,"Menggunakan emotikon untuk menciptakan suasana yang lebih akrab",outreach,GOT_NUMBER,,5.4,2026-02-21T03:29:41.671966+00:00
28,38,"Memberikan klarifikasi asal dan tujuan saat kontak menanyakan latar belakang",outreach,GOT_NUMBER,,1.2,2026-02-22T08:09:20.726663+00:00
29,38,"Menunjukkan bukti sosial dengan menyebut institusi lain yang sudah terlibat",outreach,GOT_NUMBER,,1.2,2026-02-22T08:09:20.739756+00:00
30,38,"Mengucapkan terima kasih dan memastikan tindak lanjut di akhir percakapan",outreach,GOT_NUMBER,,1.2,2026-02-22T08:09:20.750754+00:00
31,39,"Memberikan konteks dan kredibilitas organisasi",outreach,GOT_NUMBER,,1.8,2026-02-22T08:14:05.309956+00:00
32,39,"Menunjukkan penghargaan dengan ucapan terima kasih berulang",outreach,GOT_NUMBER,,1.8,2026-02-22T08:14:05.316726+00:00
33,39,"Menjaga nada formal dan ramah sepanjang percakapan",outreach,GOT_NUMBER,,1.8,2026-02-22T08:14:05.322603+00:00
34,55,"Menjelaskan konteks undangan dan menyebut nama universitas besar untuk meningkatkan kredibilitas",outreach,GOT_NUMBER,,2.4,2026-02-22T18:21:40.388171+00:00
35,55,"Menggunakan bahasa formal dengan sentuhan sopan santun",outreach,GOT_NUMBER,,2.4,2026-02-22T18:21:40.395923+00:00
36,55,"Mengajukan pertanyaan terbuka untuk memahami posisi lawan bicara",outreach,GOT_NUMBER,,2.4,2026-02-22T18:21:40.404011+00:00
37,55,"Menutup percakapan dengan ucapan terima kasih dan rencana tindak lanjut",outreach,GOT_NUMBER,,2.4,2026-02-22T18:21:40.418536+00:00
